x,y,z,freq,value
45.945,201.804,0.2,2999982340.0,-78.7209243774
46.962,203.31,0.2,2999930820.0,-76.5710372925
48.393,204.816,0.2,2999939510.0,-80.5231399536
49.769,206.322,0.2,2999960060.0,-77.7994384766
49.769,206.322,0.2,3000027500.0,-77.7937469482
50.671,207.828,0.2,2999944140.0,-79.5995483398
51.014,208.999,0.2,2999943270.0,-77.1763000488
51.014,208.249,0.2,3000083360.0,-77.7917938232
62.923,208.249,0.2,2999955430.0,-76.802482605
62.923,208.999,0.2,2999929960.0,-78.7201156616
62.488,207.828,0.2,2999995080.0,-77.2068634033
61.471,206.322,0.2,2999994210.0,-77.9995422363
60.04,204.816,0.2,3000072650.0,-76.6016082764
58.664,203.31,0.2,3000007240.0,-76.6245346069
57.762,201.804,0.2,3000093200.0,-77.8241882324
57.321,200.298,0.2,2999922430.0,-80.6963195801
57.226,198.792,0.2,2999980900.0,-80.9107208252
57.434,197.286,0.2,3000076990.0,-76.2632980347
57.993,195.78,0.2,3000081330.0,-79.0913848877
59.01,194.274,0.2,3000054990.0,-80.1885223389
60.441,192.768,0.2,2999996820.0,-80.7094573975
61.817,191.262,0.2,3000076990.0,-79.1873016357
62.719,189.756,0.2,3000001160.0,-76.5159912109
63.16,188.25,0.2,2999976270.0,-77.5817718506
63.255,186.744,0.2,3000017080.0,-79.1041717529
63.047,185.238,0.2,3000000000.0,-77.1986846924
62.488,183.732,0.2,3000009550.0,-77.0154495239
61.471,182.226,0.2,3000050650.0,-77.3797912598
60.04,180.72,0.2,2999958320.0,-79.9187850952
58.664,179.214,0.2,2999938640.0,-75.7514038086
57.762,177.708,0.2,3000087990.0,-77.20362854
57.321,176.202,0.2,3000080750.0,-78.2429199219
57.226,174.696,0.2,3000048910.0,-77.7395477295
57.434,173.19,0.2,2999951370.0,-76.3660583496
57.993,171.684,0.2,2999927930.0,-75.8750610352
59.01,170.178,0.2,3000088280.0,-78.2014694214
60.441,168.672,0.2,3000003470.0,-80.4611129761
61.817,167.166,0.2,2999950510.0,-80.9852294922
62.719,165.66,0.2,2999970770.0,-78.232673645
63.16,164.154,0.2,3000008680.0,-76.500541687
63.255,162.648,0.2,3000034150.0,-78.6785812378
63.047,161.142,0.2,2999940670.0,-78.004989624
62.488,159.636,0.2,3000082780.0,-79.8982391357
61.471,158.13,0.2,2999989000.0,-77.09715271
60.04,156.624,0.2,2999940670.0,-77.2548065186
58.664,155.118,0.2,3000049200.0,-76.3895492554
57.762,153.612,0.2,2999914330.0,-80.0146331787
57.321,152.106,0.2,2999907670.0,-78.2373657227
57.321,152.106,0.2,2999916640.0,-78.1185455322
57.226,150.6,0.2,2999947320.0,-77.5790100098
57.434,149.094,0.2,2999952240.0,-79.5083312988
57.993,147.588,0.2,3000014470.0,-77.3990249634
59.01,146.082,0.2,3000084230.0,-75.6914901733
